personInfo.person-id-external,custom-string1,custom-string2,custom-string3,custom-date1,country,card-type,national-id,isPrimary,notes,operation
ID pessoal externa,UF de expedição,Orgão emissor,Conselho,Data de emissão,País,Tipo de documento,Número,É primário,Anotações,Operação
pavelino,SP,,,01/01/1975,BRA,0001,943.843.843-45,Y,,
pcunha,SP,,,01/01/1975,BRA,0001,473.756.475-21,Y,,
gantonio,SP,,,01/01/1975,BRA,0001,857.947.947-09,Y,,
aaragao,SP,,,01/01/1975,BRA,0001,632.832.843-29,Y,,
jscarton,SP,,,01/01/1975,BRA,0001,283.484.485-28,Y,,
cestal,SP,,,01/01/1975,BRA,0001,463.493.493-83,Y,,
lferreira,SP,,,01/01/1975,BRA,0001,934.943.836-32,Y,,
fdelgado,SP,,,01/01/1975,BRA,0001,948.947.463-21,Y,,
lbenicio,SP,,,01/01/1975,BRA,0001,974.980.847-02,Y,,
rmenezes,SP,,,01/01/1975,BRA,0001,084.847.847-38,Y,,
pavelino,SP,SSP SP,,01/01/1975,BRA,0002,47749484774,N,,
pcunha,SP,SSP SP,,01/01/1975,BRA,0002,847464738,N,,
gantonio,SP,SSP SP,,01/01/1975,BRA,0002,95745745843,N,,
aaragao,SP,SSP SP,,01/01/1975,BRA,0002,847564940,N,,
jscarton,SP,SSP SP,,01/01/1975,BRA,0002,8437648494,N,,
cestal,SP,SSP SP,,01/01/1975,BRA,0002,8474646853,N,,
lferreira,SP,SSP SP,,01/01/1975,BRA,0002,438747443,N,,
fdelgado,SP,SSP SP,,01/01/1975,BRA,0002,92948474,N,,
lbenicio,SP,SSP SP,,01/01/1975,BRA,0002,1938475484,N,,
rmenezes,SP,SSP SP,,01/01/1975,BRA,0002,359857445,N,,
pavelino,SP,,,02/01/1975,BRA,0003,9474639 748-2 AA,N,,
pcunha,SP,,,03/01/1975,BRA,0003,8463452 846-7 SS,N,,
gantonio,SP,,,04/01/1975,BRA,0003,7363538 847-2 DD,N,,
aaragao,SP,,,05/01/1975,BRA,0003,6484739 483-4 RR,N,,
jscarton,SP,,,06/01/1975,BRA,0003,8473949 048-3 EE,N,,
cestal,SP,,,07/01/1975,BRA,0003,9473523 485-2 UU,N,,
lferreira,SP,,,08/01/1975,BRA,0003,7352932 039-3 WW,N,,
fdelgado,SP,,,09/01/1975,BRA,0003,8374032 039-2 PP,N,,
lbenicio,SP,,,10/01/1975,BRA,0003,9457575 746-4 FF,N,,
rmenezes,SP,,,11/01/1975,BRA,0003,0075854 958-5 OO,N,,
pavelino,SP,,,12/01/1975,BRA,0005,947437678658547,N,,
pcunha,SP,,,13/01/1975,BRA,0005,098547548546436,N,,
gantonio,SP,,,14/01/1975,BRA,0005,007463547575484,N,,
aaragao,SP,,,15/01/1975,BRA,0005,073575634478274,N,,
jscarton,SP,,,16/01/1975,BRA,0005,000084745363847,N,,
cestal,SP,,,17/01/1975,BRA,0005,000000847346438,N,,
lferreira,SP,,,18/01/1975,BRA,0005,000000632537438,N,,
fdelgado,SP,,,19/01/1975,BRA,0005,433263273283274,N,,
lbenicio,SP,,,20/01/1975,BRA,0005,008232547549495,N,,
rmenezes,SP,,,21/01/1975,BRA,0005,000002746453748,N,,
pavelino,SP,,,22/01/1975,BRA,0006,346843634643748,N,,
pcunha,SP,,,23/01/1975,BRA,0006,746435327437575,N,,
gantonio,SP,,,24/01/1975,BRA,0006,002847464594743,N,,
aaragao,SP,,,25/01/1975,BRA,0006,027438547969050,N,,
jscarton,SP,,,26/01/1975,BRA,0006,584764368494937,N,,
cestal,SP,,,27/01/1975,BRA,0006,000943743648549,N,,
lferreira,SP,,,28/01/1975,BRA,0006,943734656548549,N,,
fdelgado,SP,,,29/01/1975,BRA,0006,943743758547439,N,,
lbenicio,SP,,,30/01/1975,BRA,0006,000000073685485,N,,
rmenezes,SP,,,31/01/1975,BRA,0006,000000084734695,N,,
