personInfo.person-id-external	custom-string1	custom-string2	custom-string3	custom-date1	country	card-type	national-id	isPrimary	notes	operation
ID pessoal externa	UF de expedição	Orgão emissor	Conselho	Data de emissão	País	Tipo de documento	Número	É primário	Anotações	Operação
pcunha	SP			01/01/1975	BRA	1	473.756.475-21	Y		
gantonio	SP			01/01/1975	BRA	1	857.947.947-09	Y		
aaragao	SP			01/01/1975	BRA	1	632.832.843-29	Y		
jscarton	SP			01/01/1975	BRA	1	283.484.485-28	Y		
cestal	SP			01/01/1975	BRA	1	463.493.493-83	Y		
lferreira	SP			01/01/1975	BRA	1	934.943.836-32	Y		
fdelgado	SP			01/01/1975	BRA	1	948.947.463-21	Y		
lbenicio	SP			01/01/1975	BRA	1	974.980.847-02	Y		
rmenezes	SP			01/01/1975	BRA	1	084.847.847-38	Y		
pcunha	SP	SSP SP		01/01/1975	BRA	2	847464738	N		
gantonio	SP	SSP SP		01/01/1975	BRA	2	95745745843	N		
aaragao	SP	SSP SP		01/01/1975	BRA	2	847564940	N		
jscarton	SP	SSP SP		01/01/1975	BRA	2	8437648494	N		
cestal	SP	SSP SP		01/01/1975	BRA	2	8474646853	N		
lferreira	SP	SSP SP		01/01/1975	BRA	2	438747443	N		
fdelgado	SP	SSP SP		01/01/1975	BRA	2	92948474	N		
lbenicio	SP	SSP SP		01/01/1975	BRA	2	1938475484	N		
rmenezes	SP	SSP SP		01/01/1975	BRA	2	359857445	N		
pcunha	SP			03/01/1975	BRA	3	8463452 846-7 SS	N		
gantonio	SP			04/01/1975	BRA	3	7363538 847-2 DD	N		
aaragao	SP			05/01/1975	BRA	3	6484739 483-4 RR	N		
jscarton	SP			06/01/1975	BRA	3	8473949 048-3 EE	N		
cestal	SP			07/01/1975	BRA	3	9473523 485-2 UU	N		
lferreira	SP			08/01/1975	BRA	3	7352932 039-3 WW	N		
fdelgado	SP			09/01/1975	BRA	3	8374032 039-2 PP	N		
lbenicio	SP			10/01/1975	BRA	3	9457575 746-4 FF	N		
rmenezes	SP			11/01/1975	BRA	3	0075854 958-5 OO	N		
pcunha	SP			13/01/1975	BRA	5	9,85475E+13	N		
gantonio	SP			14/01/1975	BRA	5	7,46355E+12	N		
aaragao	SP			15/01/1975	BRA	5	7,35756E+13	N		
jscarton	SP			16/01/1975	BRA	5	84745363847	N		
cestal	SP			17/01/1975	BRA	5	847346438	N		
lferreira	SP			18/01/1975	BRA	5	632537438	N		
fdelgado	SP			19/01/1975	BRA	5	4,33263E+14	N		
lbenicio	SP			20/01/1975	BRA	5	8,23255E+12	N		
rmenezes	SP			21/01/1975	BRA	5	2746453748	N		
pcunha	SP			23/01/1975	BRA	6	7,46435E+14	N		
gantonio	SP			24/01/1975	BRA	6	2,84746E+12	N		
aaragao	SP			25/01/1975	BRA	6	2,74385E+13	N		
jscarton	SP			26/01/1975	BRA	6	5,84764E+14	N		
cestal	SP			27/01/1975	BRA	6	9,43744E+11	N		
lferreira	SP			28/01/1975	BRA	6	9,43735E+14	N		
fdelgado	SP			29/01/1975	BRA	6	9,43744E+14	N		
lbenicio	SP			30/01/1975	BRA	6	73685485	N		
rmenezes	SP			31/01/1975	BRA	6	84734695	N		
