personInfo.person-id-external,email-type,email-address,isPrimary,operation
ID pessoal externa,Tipo de e-mail,Endereço de e-mail,É primário,Operação
pavelino,Comercial,pavelino@hrst.com.br,Y,
pcunha,Outros ,pcunha@hrst.out.br,Y,
gantonio,Pessoal,gantonio@hrst.pes.br,Y,
aaragao,Comercial,aaragao@hrst.com.br,Y,
jscarton,Outros ,jscarton@hrst.out.br,Y,
cestal,Pessoal,cestal@hrst.pes.br,Y,
lferreira,Comercial,lferreira@hrst.com.br,Y,
fdelgado,Outros ,fdelgado@hrst.out.br,Y,
lbenicio,Pessoal,lbenicio@hrst.pes.br,Y,
rmenezes,Comercial,rmenezes@hrst.com.br,Y,
